Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G01 勇士 vs. 國王,2023/11/11,17:00,2023/11/11,19:00,false,臺北和平籃球館
G02 勇士 vs. 鋼鐵人,2023/11/12,17:00,2023/11/12,19:00,false,臺北和平籃球館
G03 夢想家 vs. 鋼鐵人,2023/11/18,14:30,2023/11/18,16:30,false,彰化體育館
G04 國王 vs. 攻城獅,2023/11/18,17:00,2023/11/18,19:00,false,新北市立新莊體育館
G05 夢想家 vs. 勇士,2023/11/19,14:30,2023/11/19,16:30,false,彰化體育館
G06 國王 vs. 領航猿,2023/11/19,17:00,2023/11/19,19:00,false,新北市立新莊體育館
G07 國王 vs. 領航猿,2023/11/25,14:30,2023/11/25,16:30,false,新北市立新莊體育館
G08 攻城獅 vs. 夢想家,2023/11/25,17:00,2023/11/25,19:00,false,新竹縣體育館
G09 國王 vs. 鋼鐵人,2023/11/26,14:30,2023/11/26,16:30,false,新北市立新莊體育館
G10 攻城獅 vs. 勇士,2023/11/26,17:00,2023/11/26,19:00,false,新竹縣體育館
G11 夢想家 vs. 勇士,2023/12/02,14:30,2023/12/02,16:30,false,臺中洲際迷你蛋
G12 鋼鐵人 vs. 領航猿,2023/12/02,17:00,2023/12/02,19:00,false,高雄市鳳山體育館
G13 夢想家 vs. 攻城獅,2023/12/03,14:30,2023/12/03,16:30,false,臺中洲際迷你蛋
G14 鋼鐵人 vs. 國王,2023/12/03,17:00,2023/12/03,19:00,false,高雄市鳳山體育館
G15 鋼鐵人 vs. 勇士,2023/12/09,14:30,2023/12/09,16:30,false,高雄市鳳山體育館
G16 領航猿 vs. 國王,2023/12/09,17:00,2023/12/09,19:00,false,桃園市立綜合體育館
G17 鋼鐵人 vs. 夢想家,2023/12/10,14:30,2023/12/10,16:30,false,高雄市鳳山體育館
G18 領航猿 vs. 攻城獅,2023/12/10,17:00,2023/12/10,19:00,false,桃園市立綜合體育館
G19 領航猿 vs. 夢想家,2023/12/16,14:30,2023/12/16,16:30,false,桃園市立綜合體育館
G20 勇士 vs. 鋼鐵人,2023/12/16,17:00,2023/12/16,19:00,false,臺北和平籃球館
G21 領航猿 vs. 國王,2023/12/17,14:30,2023/12/17,16:30,false,桃園市立綜合體育館
G22 勇士 vs. 攻城獅,2023/12/17,17:00,2023/12/17,19:00,false,臺北和平籃球館
G23 領航猿 vs. 鋼鐵人,2023/12/19,19:00,2023/12/19,21:00,false,桃園市立綜合體育館
G24 國王 vs. 勇士,2023/12/23,14:30,2023/12/23,16:30,false,新北市立新莊體育館
G25 攻城獅 vs. 領航猿,2023/12/23,17:00,2023/12/23,19:00,false,新竹縣體育館
G26 國王 vs. 夢想家,2023/12/24,14:30,2023/12/24,16:30,false,新北市立新莊體育館
G27 攻城獅 vs. 鋼鐵人,2023/12/24,17:00,2023/12/24,19:00,false,新竹縣體育館
G28 鋼鐵人 vs. 領航猿,2023/12/30,14:30,2023/12/30,16:30,false,高雄市鳳山體育館
G29 國王 vs. 攻城獅,2023/12/30,17:00,2023/12/30,19:00,false,新北市立新莊體育館
G30 鋼鐵人 vs. 夢想家,2023/12/31,14:30,2023/12/31,16:30,false,高雄市鳳山體育館
G31 國王 vs. 勇士,2023/12/31,17:00,2023/12/31,19:00,false,新北市立新莊體育館
G32 夢想家 vs. 國王,2024/01/06,14:30,2024/01/06,16:30,false,彰化體育館
G33 領航猿 vs. 鋼鐵人,2024/01/06,17:00,2024/01/06,19:00,false,桃園市立綜合體育館
G34 夢想家 vs. 攻城獅,2024/01/07,14:30,2024/01/07,16:30,false,彰化體育館
G35 領航猿 vs. 勇士,2024/01/07,17:00,2024/01/07,19:00,false,桃園市立綜合體育館
G36 攻城獅 vs. 國王,2024/01/12,19:00,2024/01/12,21:00,false,新竹縣體育館
G37 領航猿 vs. 鋼鐵人,2024/01/14,14:30,2024/01/14,16:30,false,桃園市立綜合體育館
G38 夢想家 vs. 勇士,2024/01/14,17:00,2024/01/14,19:00,false,臺中洲際迷你蛋
G39 領航猿 vs. 攻城獅,2024/01/16,19:00,2024/01/16,21:00,false,桃園市立綜合體育館
G40 攻城獅 vs. 勇士,2024/01/20,14:30,2024/01/20,16:30,false,新竹縣體育館
G41 國王 vs. 夢想家,2024/01/20,17:00,2024/01/20,19:00,false,新北市立新莊體育館
G42 攻城獅 vs. 領航猿,2024/01/21,14:30,2024/01/21,16:30,false,新竹縣體育館
G43 國王 vs. 鋼鐵人,2024/01/21,17:00,2024/01/21,19:00,false,新北市立新莊體育館
G44 鋼鐵人 vs. 攻城獅,2024/01/27,14:30,2024/01/27,16:30,false,高雄市鳳山體育館
G45 勇士 vs. 夢想家,2024/01/27,17:00,2024/01/27,19:00,false,臺北和平籃球館
G46 鋼鐵人 vs. 國王,2024/01/28,14:30,2024/01/28,16:30,false,高雄市鳳山體育館
G47 勇士 vs. 領航猿,2024/01/28,17:00,2024/01/28,19:00,false,臺北和平籃球館
G48 勇士 vs. 夢想家,2024/01/31,19:00,2024/01/31,21:00,false,臺北和平籃球館
G49 夢想家 vs. 國王,2024/02/03,14:30,2024/02/03,16:30,false,彰化體育館
G50 勇士 vs. 鋼鐵人,2024/02/03,17:00,2024/02/03,19:00,false,臺北和平籃球館
G51 夢想家 vs. 領航猿,2024/02/04,14:30,2024/02/04,16:30,false,彰化體育館
G52 勇士 vs. 攻城獅,2024/02/04,17:00,2024/02/04,19:00,false,臺北和平籃球館
G53 國王 vs. 鋼鐵人,2024/02/06,19:00,2024/02/06,21:00,false,新北市立新莊體育館
G54 國王 vs. 攻城獅,2024/02/16,19:00,2024/02/16,21:00,false,新北市立新莊體育館
G55 勇士 vs. 夢想家,2024/02/17,17:00,2024/02/17,19:00,false,臺北和平籃球館
G56 國王 vs. 領航猿,2024/02/18,14:30,2024/02/18,16:30,false,新北市立新莊體育館
G57 勇士 vs. 攻城獅,2024/02/18,17:00,2024/02/18,19:00,false,臺北和平籃球館
G58 夢想家 vs. 鋼鐵人,2024/02/20,19:00,2024/02/20,21:00,false,臺中洲際迷你蛋
G59 領航猿 vs. 勇士,2024/02/24,14:30,2024/02/24,16:30,false,桃園市立綜合體育館
G60 攻城獅 vs. 鋼鐵人,2024/02/24,17:00,2024/02/24,19:00,false,新竹縣體育館
G61 領航猿 vs. 夢想家,2024/02/25,14:30,2024/02/25,16:30,false,桃園市立綜合體育館
G62 攻城獅 vs. 國王,2024/02/25,17:00,2024/02/25,19:00,false,新竹縣體育館
G63 鋼鐵人 vs. 勇士,2024/02/27,19:00,2024/02/27,21:00,false,高雄市鳳山體育館
G64 鋼鐵人 vs. 攻城獅,2024/03/02,14:30,2024/03/02,16:30,false,高雄市鳳山體育館
G65 領航猿 vs. 國王,2024/03/02,17:00,2024/03/02,19:00,false,桃園市立綜合體育館
G66 鋼鐵人 vs. 夢想家,2024/03/03,14:30,2024/03/03,16:30,false,高雄市鳳山體育館
G67 領航猿 vs. 勇士,2024/03/03,17:00,2024/03/03,19:00,false,桃園市立綜合體育館
G68 夢想家 vs. 攻城獅,2024/03/09,14:30,2024/03/09,16:30,false,臺中洲際迷你蛋
G69 夢想家 vs. 領航猿,2024/03/10,14:30,2024/03/10,16:30,false,臺中洲際迷你蛋
G70 攻城獅 vs. 鋼鐵人,2024/03/16,14:30,2024/03/16,16:30,false,新竹縣體育館
G71 勇士 vs. 領航猿,2024/03/16,17:00,2024/03/16,19:00,false,臺北和平籃球館
G72 攻城獅 vs. 夢想家,2024/03/17,14:30,2024/03/17,16:30,false,新竹縣體育館
G73 勇士 vs. 國王,2024/03/17,17:00,2024/03/17,19:00,false,臺北和平籃球館
G74 鋼鐵人 vs. 領航猿,2024/03/19,19:00,2024/03/19,21:00,false,高雄市鳳山體育館
G75 領航猿 vs. 夢想家,2024/03/23,14:30,2024/03/23,16:30,false,桃園市立綜合體育館
G76 鋼鐵人 vs. 國王,2024/03/23,17:00,2024/03/23,19:00,false,高雄市鳳山體育館
G77 領航猿 vs. 勇士,2024/03/24,14:30,2024/03/24,16:30,false,桃園市立綜合體育館
G78 鋼鐵人 vs. 攻城獅,2024/03/24,17:00,2024/03/24,19:00,false,高雄市鳳山體育館
G79 國王 vs. 夢想家,2024/03/26,19:00,2024/03/26,21:00,false,新北市立新莊體育館
G80 夢想家 vs. 鋼鐵人,2024/03/29,19:00,2024/03/29,21:00,false,臺中洲際迷你蛋
G81 領航猿 vs. 攻城獅,2024/03/30,14:30,2024/03/30,16:30,false,桃園市立綜合體育館
G82 國王 vs. 勇士,2024/03/30,17:00,2024/03/30,19:00,false,新北市立新莊體育館
G83 領航猿 vs. 鋼鐵人,2024/03/31,14:30,2024/03/31,16:30,false,桃園市立綜合體育館
G84 國王 vs. 夢想家,2024/03/31,17:00,2024/03/31,19:00,false,新北市立新莊體育館
G85 勇士 vs. 攻城獅,2024/04/02,19:00,2024/04/02,21:00,false,臺北和平籃球館
G86 領航猿 vs. 夢想家,2024/04/05,17:00,2024/04/05,19:00,false,桃園市立綜合體育館
G87 攻城獅 vs. 鋼鐵人,2024/04/06,14:30,2024/04/06,16:30,false,新竹縣體育館
G88 勇士 vs. 國王,2024/04/06,17:00,2024/04/06,19:00,false,臺北和平籃球館
G89 攻城獅 vs. 夢想家,2024/04/07,14:30,2024/04/07,16:30,false,新竹縣體育館
G90 勇士 vs. 領航猿,2024/04/07,17:00,2024/04/07,19:00,false,臺北和平籃球館
G91 夢想家 vs. 國王,2024/04/13,14:30,2024/04/13,16:30,false,彰化體育館
G92 鋼鐵人 vs. 攻城獅,2024/04/13,17:00,2024/04/13,19:00,false,高雄市鳳山體育館
G93 夢想家 vs. 領航猿,2024/04/14,14:30,2024/04/14,16:30,false,彰化體育館
G94 鋼鐵人 vs. 勇士,2024/04/14,17:00,2024/04/14,19:00,false,高雄市鳳山體育館
